ano_recusa,projeto,ano_captacao,decisao,obs
2023,BRAVOS - A Vila do Fim do Mundo,2024,mesmo projeto,"mesmo título, patrocinador (Santa Maria) e valor habilitado (R$ 419.181,43)"
2023,CineMarias Mulheres Protagonistas - 2023,2024,mesmo projeto,"mesma edição (2023) e proponente; R$ 300.000,00 + R$ 97.417,44 = valor recusado em 2023"
2023,CineMarias Mulheres Protagonistas - 2023,2025,outra edição,"4ª Mostra CineMarias, outro proponente (Odoyá)"
2023,Coral ArcelorMittal - 2023,2024,mesmo projeto,"mesma edição (2023), patrocinador e valor; em 2024 o proponente listado é MM Projetos Culturais"
2023,"Festival Roda de Boteco, Colatina-ES",2024,outra edição,Roda de Boteco - Grande Vitória (a recusada era a de Colatina)
2023,"Festival Roda de Boteco, Colatina-ES",2025,outra edição,Roda de Boteco 2025
2023,"Festival Roda de Boteco, Colatina-ES",2026,outra edição,Roda de Boteco 2026
2023,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,2024,mesmo projeto,"mesmo título, patrocinador e valor (R$ 700.000,00)"
2023,Ready to Rock,2024,mesmo projeto,"mesmo título e proponente, com outros patrocinadores"
2023,Residência literária nas montanhas do Caparaó,2024,mesmo projeto,"mesmo título, patrocinador e valor (R$ 161.622,55)"
2023,Residência literária nas montanhas do Caparaó,2026,falso positivo,outros projetos com Caparaó no nome
2024,#EP10 - Encontro das Pretas 10 anos,2025,mesmo projeto,mesmo título e proponente; patrocinador EDP (recusado com ArcelorMittal)
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,mesmo projeto,"mesmo título e valor habilitado (R$ 774.892,00); o anexo de 2026 inclui termos em análise"
2024,"Encantando pessoas, celebrando a natureza",2025,mesmo projeto,mesmo título e proponente
2024,Escola de Música Tocando em Frente,2025,mesmo projeto,mesmo título e proponente
2024,"Escola de fotógrafos cegos, novos olhares: territórios",2026,outra edição,"Escola de Fotógrafos Cegos, A Exposição; valor habilitado diferente (R$ 496.800,00 × R$ 151.159,40)"
2024,Estúdio Escola de Animação,2025,mesmo projeto,mesmo título e proponente
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,2025,mesmo projeto,"FECSTA 7, mesmo proponente e patrocinador (Tuboval)"
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,2026,outra edição,FECSTA 9
2024,Festival Delírio Tropical,2025,mesmo projeto,mesmo título e proponente
2024,Festival Manhágua,2025,mesmo projeto,mesmo título e proponente
2024,Festival Nacional de Teatro Cidade de Vitória - 20ª Edição,2025,mesmo projeto,mesma edição (20ª)
2024,Filarmônica de Mulheres do Espírito Santo: música e representatividade,2025,mesmo projeto,mesmo título e proponente
2024,Oficinas de Formação Música Clássica,2025,mesmo projeto,"mesmo título, proponente e valor (R$ 499.620,00)"
2024,Oficinas de Formação Música Clássica,2026,falso positivo,outro proponente (Coreto)
2024,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,2025,mesmo projeto,mesma edição (2023)
2024,Quintal do CSE: Intervenções Socioespaciais Identitárias,2025,mesmo projeto,mesmo título e proponente
2024,11º Festival de Música Erudita do Espírito Santo,2026,outra edição,"busca manual (2026, linha 24): Festival de Música Erudita do Espírito Santo, edição não informada"
