ciclo,numero_processo,projeto,linguagem,linguagem_conferida
2025,2025-BK3F3,Moqueca Pop Festival - 4ª Edição,música popular e festivais,
2025,2025-DV11N,Roda de Boteco 2025 - Edição 2025,não classificado,
2026,2025-DZ8W2,Territórios Criativos e Ancestrais: Juventudes Guardiãs da Cultura,não classificado,
2024,2023-P5WLN,Projeto Tramas Criativas: Formação em Estética Capilar Afro-brasileira,formação e oficinas,
2023,2022-S4TPC,Fabricação e Musicalização da Flauta Transversal,música popular e festivais,
2024,2023-J53ZF,“Orquestra Acadêmica do Ifes”,música erudita e coral,
2023,2022-8KN40,Vozes Plurais,não classificado,
2022,2022-9NT8C,"2o Festival De Caxambu De Pedra Branca 'Fé, Raça Em Um Só Coração”",tradição popular e festas,
2026,2025-51382,74º Encontro Nacional de Folias de Reis,tradição popular e festas,
2022,2022-K3M60,A Trupe Barroca - Concerto De Natal 2022,música erudita e coral,
2024,2023-6V806,Agenda cultural - 28º Programa de Verão de Atílio Vivácqua/ES,não classificado,
2024,2023-K799N,96ª Festa de São Pedro - Edição 2024,tradição popular e festas,
2022,2022-P2FN3,CAPPITELLA – Festa Do Cappelletti E Da Tagliatella,tradição popular e festas,
2025,2025-7TBJS,OOPA! OLHA O PASSARINHO (2ª TEMPORADA),não classificado,
2026,2025-FH60M,Casa Decola,não classificado,
2023,2023-RC4LK,Jose Carlos Vilar. Precisão e suavidade,não classificado,
2026,2024-454L8,Ato Final Em Debate,não classificado,
2024,2023-N1HRJ,Programa de fortalecimento de jongos e caxambus do sul capixaba,tradição popular e festas,
2024,2024-X6HWG,2ª Festa da Palavra,tradição popular e festas,
2022,2022-1MLZT,Projeto Xapuri,não classificado,
2024,2023-KZHXT,Onda Sonora,não classificado,
2025,2025-6MRS2,XXX Festival Internacional de Inverno de Música Erudita e Popular de Domingos Martins,música erudita e coral,
2024,2024-WCJ53,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",não classificado,
2022,2022-9BD9G,Sabor e Saber,não classificado,
2025,2025-Z42VL,Algazarra Coral: formação vocal e responsabilidade social,música erudita e coral,
2026,2025-C1XPG,Memórias do Lar,patrimônio e memória,
2026,2026-3LXT7,"14ª Itália Unita - Aracruz: Sua História Une Gerações: ""Sabores E Tradições Da Itália Dei Nostri Nonni""",tradição popular e festas,
2025,2025-688GH,Rosa dos Ventos,não classificado,
2024,2023-9TV0S,FINA SINTONIA PRESENCIAL E ITINERANTE,não classificado,
2022,2022-S80KH,7a TendaLab,não classificado,
2022,2022-BFTK4,Escola de Música Tocando em Frente,música popular e festivais,
2025,2025-60Q4Z,Samba no Centro,tradição popular e festas,
2022,2022-XX9K7,2º Ventania.Lab - Residência Audiovisual,audiovisual,
2023,2022-XLQ1B,A Trupe Barroca: Uma Nova Mùsica Antiga 2024,música popular e festivais,
2024,2023-DSMSP,2º Festival Semente Literária,música popular e festivais,
2022,2022-3FS25,SobreVoar,não classificado,
2025,2025-S1RSD,Festival do Sol,música popular e festivais,
2024,2024-SFCLQ,Projeto Stoked,não classificado,
2022,2022-C89QH,Herança Negra - Turnê no Espírito Santo,não classificado,
2024,2023-D2859,“Tecer Folias”,tradição popular e festas,
2023,2023-WQW4G,Quintal do CSE: Intervenções Socioespaciais Identitárias,não classificado,
2023,2023-G9CPF,Circulação do Espetáculo “Fuscalhaço”,"teatro, dança e circo",
2023,2023-LGC1J,25o Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,música popular e festivais,
2025,2025-HC308,CAPOEIRA E CULTURA POPULAR,tradição popular e festas,
2024,2023-QCBWF,“Carna Surpresa - O Carnaval da Barra do Jucu”,tradição popular e festas,
2024,2023-0NZB3,'Encontro da Chefs 2024'',não classificado,
2024,2023-L11TR,150 anos da Imigração Italiana no Espírito Santo - Brasil - Exposição Itinerante “As Colônias Italianas no Espírito Santo,não classificado,
2022,2022-19NNC,Espetáculo Alice No País Das Maravilhas,"teatro, dança e circo",
2025,2025-XHP83,Festival de Música Erudita do Espírito Santo,música erudita e coral,
2023,2022-7C0QL,"Festival de Arte Contemporânea - Futuros Imaginados, presentes possíveis.",música popular e festivais,
2023,2022-HZM71,Origraffes (Original Graffiti Espírito Santo),"hip-hop, rap e cultura urbana",
2024,2023-4Z9J3,Boa Vista Carnaval Capixaba 2025,tradição popular e festas,
2024,2024-L3FN9,Diversão em Cena,não classificado,
2023,2022-1557P,CineMarias Mulheres Protagonistas - 2023,audiovisual,
2024,2024-HT8QP,Orquestra Brasileira de Cantores Cegos - 3º Repertório,música erudita e coral,
2022,2022-Z91ZF,O Canto do Beija Flor,música popular e festivais,
2023,2022-8LMZ7,Residência literária nas montanhas do Caparaó,formação e oficinas,
2024,2023-GH3Z0,Exercícios para se lembrar: a performance como método para elaboração de subjetividades,não classificado,
2022,2022-0PP25,5@ Sinfônica Igrejas Históricas Capixabas,música erudita e coral,
2024,2023-D7T2H,SALA IMERSIVA PIXXFLUXX,não classificado,
