# SUPERADA: ver analise/tabelas/09_reentrada_indeferidos.csv (errata em 06-decisao-editorial.md)
projeto_2023_indeferido,proponente_2023,patrocinador_do_termo_indeferido,aparece_captados_2024,linha_no_texto_2024,observacao
CineMarias Mulheres Protagonistas - 2023,Puri Produções e Eventos LTDA,Leroy Merlin,sim,189;531,mesma marca de projeto; edição possivelmente diferente
Festival Roda de Boteco (Colatina),CONEXXO Serviços e Gestão de Eventos,Colina; Viafor; Lavagnoli,não,226,em 2024 é outra edição (Roda de Boteco - Grande Vitória); corrigido na Stage 4
Ready to Rock,Instituto Viva Vida,Papelaria Rainha,sim,28,
Cinema é coisa séria,Viana Projetos Culturais LTDA,ArcelorMittal (Tubarão),não,,também ausente em 2025 e 2026
Modernização museológica do Museu Aberto das Tartarugas Marinhas,Fundação Centro Brasileiro de Proteção e Pesquisa das Tartarugas Marinhas,ArcelorMittal (Tubarão),sim,92;97,
Latasha,Finordia Produções Culturais Ltda.,EDP Espírito Santo,não,,também ausente em 2025 e 2026
"Jogo Digital: ""12 Anos no ES""",Mito Games Ltda,Kurumá; V.M; EV Comércio de Veículos,não,,também ausente em 2025 e 2026
Residência literária nas montanhas do Caparaó,Danyel Ferreira Sueth,D. F. Favoreto Supermercado EIRELI,sim,60,mesmo patrocinador
FESTIVAL NOVOS CANTORES - 2ª edição,Medusa Estúdio e Produções LTDA,Millenium Comercial,não,,também ausente em 2025 e 2026
BRAVOS - A Vila do Fim do Mundo,Global Village Creative E Executive Produtora Ltda,Indústria de Alimentos Santa Maria,sim,102,
Coral ArcelorMittal - 2023,Daniel Gonçalves Morelo ME,ArcelorMittal (Tubarão),sim,118,em 2024 o proponente listado é MM Projetos
